,id,Price,Zip,Type,Subtype,Locality,Surroundings type,Living area,Number of rooms,Bathrooms,Construction year,Number of facades,Swimming pool,Furnished,Open fire,Terrace,Terrace surface,Garden,Garden surface,Primary energy consumption,Energy class,Heating type,Kitchen values,Building Cond. values,Parking,Province,Urban_value,Normal_apt,Big_apt
14305,10494419.0,1900000.0,1050.0,apartment,penthouse,ixelles,,285.0,3.0,3.0,2021.0,2.0,0.0,0.0,0.0,1.0,59.0,0.0,0.0,19632000732654.4,Not specified,Gas,1.0,4.0,2.0,1,1.0,0,1
14306,10494421.0,1900000.0,1060.0,apartment,penthouse,saint-gilles,,285.0,3.0,3.0,2021.0,2.0,0.0,0.0,0.0,1.0,59.0,0.0,0.0,19632000732654.4,Not specified,Gas,1.0,4.0,2.0,1,1.0,0,1
14307,10619638.0,145000.0,4020.0,apartment,apartment,liege,,72.0,2.0,1.0,1966.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,166.0,B,Fuel oil,1.0,1.0,0.0,6,0.0,1,0
14308,10621174.0,175000.0,4340.0,apartment,apartment,villers-l'ÉvÊque,,54.0,1.0,1.0,2008.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,B,Gas,1.0,3.0,1.0,6,0.0,1,0
14309,10620964.0,259000.0,4100.0,apartment,apartment,boncelles,"Living area (residential, urban or rural)",128.0,3.0,1.0,2005.0,2.4,0.0,0.0,0.0,1.0,5.0,0.0,0.0,310.0,D,Electric,1.0,3.0,3.0,6,1.0,1,0
14310,10620593.0,295000.0,8670.0,apartment,apartment,koksijde,,61.0,2.0,1.0,1967.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,131.0,B,Gas,1.0,3.0,0.0,10,0.0,1,0
14311,10618934.0,299000.0,2600.0,apartment,apartment,berchem,Urban,117.0,3.0,2.0,1972.0,2.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,304.0,D,,1.0,4.0,0.0,4,0.0,1,0
14312,10619207.0,310000.0,1150.0,apartment,apartment,woluwe-saint-pierre,"Living area (residential, urban or rural)",79.0,2.0,1.0,1964.0,3.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,144.0,C,Gas,1.0,2.0,0.0,1,1.0,1,0
14313,10621319.0,340000.0,7850.0,apartment,apartment,enghien,"Living area (residential, urban or rural)",186.0,2.0,1.0,1987.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,C,Gas,1.0,3.2,0.0,8,0.0,1,0
14314,10575411.0,359500.0,2570.0,apartment,penthouse,duffel,,130.0,3.0,1.0,2006.0,2.0,0.0,0.0,0.0,1.0,56.0,0.0,0.0,114.0,B,,0.8,4.0,1.0,4,0.0,0,1
14315,10619594.0,399000.0,2600.0,apartment,apartment,berchem,Urban,140.0,2.0,1.0,1975.0,2.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,95.0,A,,1.0,3.0,9.0,4,0.0,1,0
14316,10621500.0,410000.0,3000.0,apartment,apartment,leuven,"Living area (residential, urban or rural)",90.0,2.0,1.0,1967.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,152.0,B,Gas,1.0,4.0,2.0,3,1.0,1,0
14317,10621052.0,449000.0,2000.0,apartment,apartment,antwerpen,Urban,104.0,2.0,1.0,2017.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,168.0,B,Gas,1.0,4.0,0.0,4,1.0,1,0
14318,10619450.0,650000.0,2018.0,apartment,penthouse,antwerp,Isolated,165.0,3.0,2.0,2005.6,2.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,199.0,B,Gas,1.0,4.0,1.0,4,0.0,0,1
14319,10601827.0,165000.0,8000.0,apartment,apartment,brugge,Urban,41.0,1.0,1.0,1990.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,B,Gas,1.0,3.0,0.0,10,1.0,1,0
14320,10603113.0,239000.0,1370.0,apartment,apartment,jodoigne,,75.0,2.0,1.0,1980.4,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,B,,1.0,3.2,1.0,2,0.0,1,0
14321,10601828.0,265000.0,8000.0,apartment,apartment,brugge,Urban,75.0,2.0,1.0,1990.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,B,Gas,1.0,3.0,0.0,10,1.0,1,0
14322,10604615.0,276000.0,9400.0,apartment,apartment,ninove,Fitted out,88.0,2.0,1.0,2015.0,2.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,76.0,A,Gas,1.0,4.0,0.0,11,0.0,1,0
14323,10604144.0,379000.0,1040.0,apartment,apartment,etterbeek,"Living area (residential, urban or rural)",74.0,2.0,1.0,1920.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,C,Gas,1.0,3.0,0.0,1,1.0,1,0
14324,10604686.0,385000.0,1200.0,apartment,apartment,woluwe-saint-lambert,Urban,115.0,2.0,1.0,1951.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,200.0,D,Gas,1.0,4.0,3.0,1,1.0,1,0
14325,10602410.0,550000.0,1000.0,apartment,apartment,bruxelles,,135.0,2.0,1.0,1876.0,2.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,331.0,F,Gas,1.0,4.0,3.0,1,1.0,1,0
14326,10604135.0,669000.0,1040.0,apartment,apartment,etterbeek,"Living area (residential, urban or rural)",135.0,3.0,1.0,1920.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,C,Gas,1.0,3.0,0.0,1,1.0,1,0
14327,10601660.0,1195000.0,8000.0,apartment,penthouse,brugge,,281.0,3.0,3.0,2012.0,4.0,0.0,0.0,0.0,1.0,176.0,1.0,176.0,130.0,B,Gas,1.0,4.0,4.0,10,1.0,0,1
14328,10601659.0,1195000.0,8310.0,apartment,penthouse,assebroek,,281.0,3.0,3.0,2012.0,4.0,0.0,0.0,0.0,1.0,176.0,1.0,176.0,130.0,B,Gas,1.0,4.0,4.0,10,0.0,0,1
14329,10602368.0,1690000.0,1050.0,apartment,apartment,ixelles,,238.0,3.0,3.0,1965.0,2.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,155.0,D,Fuel oil,1.0,3.0,2.0,1,1.0,1,0
14330,10508701.0,229000.0,1140.0,apartment,apartment,evere,,78.0,2.0,1.0,1971.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,19632000732691.6,Not specified,Gas,1.0,2.0,1.0,1,1.0,1,0
14331,10608422.0,558000.0,1150.0,apartment,penthouse,woluwe-saint-pierre,,135.0,3.0,2.0,1958.0,3.0,0.0,0.0,0.0,1.0,14.0,1.0,1192.0,542.0,G,Gas,1.0,4.0,4.0,1,1.0,0,1
14332,10592982.0,199000.0,8450.0,apartment,apartment,bredene,,55.0,1.0,1.2,2002.0,2.6,0.0,0.0,0.0,1.0,11.2,0.0,0.0,691.0,F,Electric,1.0,4.0,0.0,10,1.0,1,0
14333,10594127.0,445000.0,1180.0,apartment,apartment,uccle,,95.0,2.0,1.0,1974.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,185.0,D,Fuel oil,1.0,4.0,1.0,1,1.0,1,0
14334,10593822.0,449000.0,3500.0,apartment,apartment,hasselt,Urban,165.0,3.0,1.0,1975.0,2.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,119.0,B,Gas,1.0,3.0,1.0,5,1.0,1,0
14335,10593365.0,595000.0,1200.0,apartment,duplex,woluwe-saint-lambert,,146.0,3.0,2.0,1967.0,2.0,0.0,0.0,0.0,1.0,44.0,0.0,0.0,494.0,G,Gas,1.0,3.0,1.0,1,1.0,0,1
14336,10594344.0,645000.0,8300.0,apartment,apartment,knokke-heist,,76.0,2.0,2.0,1994.0,2.0,0.0,1.0,0.0,1.0,2.8,1.0,0.0,178.0,B,Gas,1.0,4.0,1.0,10,0.0,1,0
14337,10593481.0,675000.0,9160.0,apartment,penthouse,lokeren,Urban,209.0,3.0,1.0,2006.0,2.0,0.0,0.0,0.0,1.0,45.0,0.0,0.0,170.0,B,Gas,1.0,4.0,2.0,11,0.0,0,1
14338,10611631.0,195000.0,1120.0,apartment,apartment,bruxelles,,70.0,1.0,1.0,1978.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,D,Fuel oil,0.8,3.0,0.0,1,0.0,1,0
14339,10611551.0,210000.0,4130.0,apartment,apartment,esneux,,134.0,3.0,2.0,1899.0,2.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,385.0,E,Fuel oil,1.0,2.0,0.0,6,0.0,1,0
14340,10612477.0,215000.0,1030.0,apartment,apartment,schaerbeek,,56.0,1.0,1.0,2021.8,2.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19632000732575.8,Not specified,,0.0,3.4,0.0,1,1.0,1,0
14341,10610633.0,264000.0,3550.0,apartment,apartment,heusden-zolder,,99.0,3.0,1.0,2001.0,4.0,0.0,0.0,0.0,1.0,64.0,0.0,0.0,205.0,C,Gas,1.0,3.0,2.0,5,0.0,1,0
14342,10610848.0,349000.0,4000.0,apartment,duplex,liège,,178.0,3.0,1.2,1974.6,3.0,0.0,0.0,0.0,1.0,30.0,1.0,180.0,19632000732707.0,Not specified,Gas,1.0,4.0,0.0,6,1.0,0,1
