,id,Price,Zip,Type,Subtype,Locality,Surroundings type,Living area,Number of rooms,Bathrooms,Construction year,Number of facades,Swimming pool,Furnished,Open fire,Terrace,Terrace surface,Garden,Garden surface,Primary energy consumption,Energy class,Heating type,Kitchen values,Building Cond. values,Parking,Province,Urban_value,Normal_apt,Big_apt
9988,10550578.0,180000.0,1040.0,apartment,apartment,etterbeek,Urban,41.0,1.0,1.0,1967.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,F,Gas,1.0,3.0,0.0,1,1.0,1,0
9989,10615818.0,395000.0,9800.0,apartment,apartment,deinze,Urban,99.0,2.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,12.0,1.0,25.0,1.0,A,Gas,1.0,4.0,111.0,11,0.0,1,0
9990,10619226.0,420000.0,1000.0,apartment,apartment,bruxelles,Urban,69.0,1.0,1.0,2025.0,2.4,0.0,0.0,0.0,1.0,24.0,0.0,0.0,46.0,B,Gas,1.0,4.0,1.0,1,1.0,1,0
9991,10616443.0,1750000.0,1050.0,apartment,penthouse,ixelles,Isolated,228.0,3.0,2.0,2024.0,4.0,0.0,0.0,0.0,1.0,67.0,0.0,0.0,95.0,B,Gas,1.0,4.0,1.0,1,1.0,0,1
9998,10620194.0,280000.0,1080.0,apartment,duplex,molenbeek-saint-jean,"Living area (residential, urban or rural)",165.0,3.0,1.0,1935.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,E,Gas,1.0,3.0,0.0,1,1.0,0,1
9999,10389696.0,289000.0,8370.0,apartment,apartment,blankenberge,Landscape,68.0,2.0,1.0,1963.0,2.0,0.0,1.0,0.0,1.0,7.6,0.0,0.0,116.0,B,Gas,1.0,3.0,0.0,10,0.0,1,0
10005,10619289.0,325000.0,9051.0,apartment,apartment,gent sint-denijs-westrem,Urban,91.0,2.0,1.0,1991.0,2.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,178.0,B,Electric,1.0,2.0,2.0,11,0.0,1,0
10011,10619274.0,529000.0,9000.0,apartment,apartment,gent,Urban,182.0,4.0,1.0,1963.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,B,Gas,1.0,3.0,2.0,11,1.0,1,0
10012,10615817.0,250000.0,9800.0,apartment,apartment,deinze,Urban,63.0,1.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,10.0,1.0,25.0,1.0,A,Gas,1.0,4.0,111.0,11,0.0,1,0
10013,10613255.0,369000.0,1420.0,apartment,apartment,braine-l'alleud,Isolated,92.0,2.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,47.0,A,Gas,1.0,4.0,0.0,2,1.0,1,0
10014,10615816.0,375000.0,9800.0,apartment,apartment,deinze,Urban,85.0,2.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,28.0,1.0,25.0,1.0,A,Gas,1.0,4.0,111.0,11,0.0,1,0
10015,10618170.0,149500.0,4040.0,apartment,apartment,herstal,,75.0,2.0,1.0,1981.0,2.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,207.0,C,Gas,1.0,3.0,0.0,6,1.0,1,0
10016,10617618.0,174999.0,9100.0,apartment,apartment,sint-niklaas,"Living area (residential, urban or rural)",50.0,1.0,1.0,2019.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,113.0,B,Gas,1.0,4.0,1.0,11,1.0,1,0
10017,10617686.0,185000.0,1070.0,apartment,apartment,anderlecht,,69.0,1.0,1.0,2007.0,2.2,0.0,0.0,0.0,1.0,8.0,0.0,0.0,207.0,D,Electric,1.0,3.0,1.0,1,1.0,1,0
10018,10617685.0,225000.0,1070.0,apartment,apartment,anderlecht,,93.0,2.0,1.0,2007.0,2.2,0.0,0.0,0.0,1.0,10.0,0.0,0.0,249.0,E,Electric,1.0,3.0,1.0,1,1.0,1,0
10023,10616556.0,349000.0,9031.0,apartment,duplex,drongen,Urban,118.0,2.0,2.0,2003.0,3.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,150.0,B,Gas,1.0,3.0,2.0,11,0.0,0,1
10025,10618367.0,365000.0,9040.0,apartment,apartment,gent,"Living area (residential, urban or rural)",105.0,2.0,1.0,1995.0,3.0,0.0,0.0,0.0,1.0,85.0,0.0,0.0,358.0,D,Electric,1.0,3.0,0.0,11,0.0,1,0
10026,10617658.0,398000.0,4000.0,apartment,apartment,liège,,135.0,3.0,1.0,1932.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,299.0,D,Gas,1.0,3.0,1.0,6,1.0,1,0
10028,10615961.0,430000.0,1040.0,apartment,apartment,etterbeek,"Living area (residential, urban or rural)",116.0,2.0,2.0,1936.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,232.0,E,Gas,1.0,4.0,1.0,1,1.0,1,0
10030,10616241.0,465000.0,1050.0,apartment,apartment,ixelles,Urban,95.0,2.0,1.0,2003.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,110.0,C,Gas,1.0,2.0,1.0,1,1.0,1,0
10031,10616235.0,560000.0,1150.0,apartment,apartment,woluwe-saint-pierre,Isolated,116.0,3.0,2.0,1995.0,3.0,0.0,0.0,0.0,1.0,18.0,1.0,50.0,393.0,G,Electric,1.0,4.0,1.0,1,1.0,1,0
10035,10615098.0,150000.0,9400.0,apartment,apartment,ninove,,60.0,1.0,1.0,1996.0,2.0,0.0,0.0,0.0,1.0,15.4,0.0,0.0,434.0,E,Electric,1.0,3.0,1.0,11,0.0,1,0
10038,10614924.0,250000.0,1080.0,apartment,apartment,molenbeek-saint-jean,Isolated,90.0,2.0,1.0,1994.0,2.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,147.0,C,Gas,1.0,3.0,1.0,1,1.0,1,0
10039,10613589.0,250000.0,1150.0,apartment,penthouse,woluwe-saint-pierre,Isolated,49.0,1.0,1.0,1953.0,2.4,0.0,0.0,0.0,1.0,30.0,0.0,0.0,621.0,G,Gas,0.0,2.0,0.0,1,1.0,0,1
10040,10613318.0,275000.0,1070.0,apartment,apartment,anderlecht,Urban,90.0,3.0,1.0,1973.0,3.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,372.0,G,Gas,1.0,3.0,1.0,1,1.0,1,0
10041,10613317.0,275000.0,1080.0,apartment,apartment,molenbeek-saint-jean,Urban,90.0,3.0,1.0,1973.0,3.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,372.0,G,Gas,1.0,3.0,1.0,1,1.0,1,0
10045,10615492.0,299000.0,9500.0,apartment,penthouse,geraardsbergen,,115.0,2.0,2.0,2013.0,2.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,128.0,B,Gas,1.0,3.0,2.0,11,0.0,0,1
10047,10614613.0,350000.0,3020.0,apartment,apartment,herent,,115.0,2.0,1.0,2010.0,2.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,202.0,C,Gas,1.0,3.0,0.0,3,1.0,1,0
10048,10614867.0,365000.0,1140.0,apartment,apartment,evere,"Living area (residential, urban or rural)",80.0,2.0,1.0,2008.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,165.0,D,Gas,1.0,4.0,0.0,1,1.0,1,0
10049,10615819.0,429000.0,9000.0,apartment,penthouse,gent,,95.0,2.0,2.0,1980.0,2.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,131.0,B,Gas,1.0,4.0,0.0,11,1.0,0,1
10050,10611509.0,168000.0,1082.0,apartment,apartment,berchem-sainte-agathe,"Living area (residential, urban or rural)",70.0,1.0,1.0,1968.0,2.0,0.0,0.0,0.0,1.0,4.6,0.0,0.0,340.0,F,Gas,1.0,4.0,1.0,1,1.0,1,0
10053,10612084.0,195000.0,9600.0,apartment,apartment,ronse,,93.0,2.0,1.0,2003.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,25.4,222.0,C,Gas,1.0,3.0,0.0,11,0.0,1,0
10054,10611847.0,199000.0,4500.0,apartment,penthouse,huy,,96.0,2.0,1.0,2010.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,B,Gas,1.0,3.0,1.0,6,0.0,0,1
10055,10610720.0,220000.0,1140.0,apartment,apartment,evere,"Living area (residential, urban or rural)",77.0,2.0,1.0,1968.0,2.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,268.0,E,Gas,1.0,2.0,1.0,1,1.0,1,0
10056,10610993.0,295000.0,1090.0,apartment,apartment,jette,"Living area (residential, urban or rural)",120.0,2.0,1.0,1975.0,2.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,217.0,E,Gas,1.0,3.0,2.0,1,1.0,1,0
10058,10611677.0,360000.0,8620.0,apartment,apartment,nieuwpoort,Shop street,67.0,2.0,1.0,2004.0,4.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,104.0,B,Gas,1.0,3.0,0.0,10,0.0,1,0
10059,10610713.0,378000.0,1950.0,apartment,apartment,kraainem,Urban,90.0,2.0,1.0,2003.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,131.0,B,Gas,1.0,4.0,0.0,3,1.0,1,0
10060,10611828.0,420000.0,4053.0,apartment,penthouse,embourg,,145.0,3.0,2.0,2010.0,3.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,96.0,B,Gas,1.0,3.0,1.0,6,0.0,0,1
10061,10611827.0,420000.0,4053.0,apartment,apartment,embourg,,145.0,3.0,2.0,2010.0,3.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,96.0,B,Gas,1.0,3.0,1.0,6,0.0,1,0
10062,10611456.0,645000.0,1050.0,apartment,apartment,ixelles,Urban,168.0,4.0,2.0,1900.0,2.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,248.0,E,Gas,1.0,3.0,0.0,1,1.0,1,0
10063,10619235.0,285000.0,1150.0,apartment,penthouse,woluwe-saint-pierre,Isolated,70.0,1.0,1.0,1958.0,2.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,670.0,G,Gas,1.0,2.0,0.0,1,1.0,0,1
10064,10606404.0,630000.0,1040.0,apartment,apartment,etterbeek,Urban,114.0,2.0,2.0,1912.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,140.0,C,Gas,1.0,4.0,35.0,1,1.0,1,0
10065,10606403.0,630000.0,1040.0,apartment,apartment,etterbeek,Urban,114.0,2.0,2.0,1912.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,140.0,C,Gas,1.0,4.0,35.0,1,1.0,1,0
10066,10620192.0,995000.0,1000.0,apartment,apartment,bruxelles,Isolated,132.0,2.0,2.0,2014.0,4.0,0.0,1.0,0.0,1.0,65.0,0.0,0.0,113.0,C,Gas,1.0,4.0,0.0,1,1.0,1,0
10067,10608254.0,169000.0,8370.0,apartment,apartment,blankenberge,Urban,67.0,1.0,1.0,1934.0,2.0,0.0,0.0,0.0,1.0,27.2,0.0,0.0,300.0,C,Gas,1.0,3.0,0.0,10,0.0,1,0
10068,10608251.0,205000.0,8370.0,apartment,flat studio,blankenberge,Landscape,39.0,2.0,1.0,1982.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,276.0,C,Electric,1.0,3.0,0.0,10,0.0,1,0
10069,10513885.0,284000.0,1080.0,apartment,apartment,sint-jans-molenbeek,Urban,95.0,2.0,1.0,1968.0,2.2,0.0,0.0,0.0,1.0,17.8,0.0,0.0,176.0,D,Gas,1.0,3.0,1.0,1,1.0,1,0
10070,10448516.0,290000.0,8370.0,apartment,penthouse,blankenberge,Urban,102.0,2.0,1.0,2005.0,2.0,0.0,0.0,0.0,1.0,9.6,0.0,0.0,140.0,B,Gas,1.0,3.0,0.0,10,0.0,0,1
10071,10438748.0,290000.0,8370.0,apartment,apartment,blankenberge,Urban,102.0,2.0,1.0,2005.0,2.0,0.0,0.0,0.0,1.0,2.8,0.0,0.0,140.0,B,Gas,1.0,3.0,0.0,10,0.0,1,0
10072,10608255.0,295000.0,8370.0,apartment,apartment,blankenberge,Landscape,107.0,2.0,1.0,1966.0,2.0,0.0,0.0,0.0,1.0,27.2,0.0,0.0,164.0,B,Fuel oil,1.0,2.0,0.0,10,0.0,1,0
10073,10580749.0,795000.0,1040.0,apartment,apartment,etterbeek,,146.0,2.0,2.0,1966.0,2.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,141.0,C,Gas,1.0,3.0,0.0,1,1.0,1,0
10074,10619225.0,345000.0,1160.0,apartment,apartment,auderghem,Urban,70.0,1.0,1.0,2023.0,2.4,0.0,0.0,0.0,1.0,13.0,0.0,0.0,45.0,A,,1.0,4.0,1.0,1,1.0,1,0
10075,10551295.0,239000.0,2930.0,apartment,apartment,brasschaat,,98.0,3.0,1.0,1988.0,2.0,0.0,0.0,0.0,1.0,14.2,0.0,0.0,201.0,C,Gas,1.0,3.0,0.0,4,1.0,1,0
10076,10617644.0,249000.0,1030.0,apartment,apartment,schaerbeek,,76.0,2.0,1.0,1968.0,2.0,0.0,0.0,0.0,1.0,6.6,0.0,0.0,219.0,E,Gas,1.0,2.0,0.0,1,1.0,1,0
10077,10618546.0,695000.0,1050.0,apartment,apartment,ixelles,Urban,147.0,3.0,2.0,2018.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,64.0,B,Gas,1.0,4.0,1.0,1,1.0,1,0
10078,10617604.0,854000.0,1000.0,apartment,triplex,bruxelles,Urban,200.0,4.0,2.0,1991.0,3.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,248.0,E,Gas,1.0,3.0,0.0,1,1.0,0,1
10079,10617784.0,995000.0,1000.0,apartment,duplex,bruxelles,,230.0,3.0,2.0,2001.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,D,Gas,1.0,4.0,2.0,1,1.0,0,1
10080,10601999.0,1340000.0,1180.0,apartment,penthouse,uccle,Countryside,179.0,3.0,1.0,2022.0,4.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,96.0,C,Gas,1.0,4.0,2.0,1,1.0,0,1
10082,10605117.0,163000.0,6880.0,apartment,apartment,bertrix,Urban,80.0,2.0,1.0,1950.0,2.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,219.0,C,Pellet,1.0,3.0,1.0,9,0.0,1,0
10083,10565300.0,185000.0,2170.0,apartment,apartment,merksem,,76.0,2.0,1.0,1971.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,167.0,B,Gas,1.0,2.0,1.0,4,0.0,1,0
10084,10607017.0,185250.0,2830.0,apartment,apartment,willebroek,,83.0,2.0,1.0,1990.0,2.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,351.0,D,Electric,1.0,2.0,0.0,4,0.0,1,0
10085,10607038.0,195000.0,2830.0,apartment,apartment,willebroek,,105.0,3.0,1.0,1971.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,391.0,D,Fuel oil,1.0,1.0,1.0,4,0.0,1,0
10086,10607035.0,195000.0,2830.0,apartment,apartment,willebroek,,105.0,3.0,1.0,1971.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,391.0,D,Fuel oil,1.0,1.0,1.0,4,0.0,1,0
10093,10568883.0,240000.0,1000.0,apartment,apartment,brussels city,Urban,80.0,2.0,1.0,2015.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,463.0,G,Electric,1.0,2.0,0.0,1,1.0,1,0
10095,10606216.0,249000.0,2060.0,apartment,apartment,antwerp,Urban,50.0,1.0,1.0,2014.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,73.0,A,Gas,1.0,3.0,1.0,4,0.0,1,0
10098,10605063.0,295000.0,4000.0,apartment,apartment,liege,Urban,153.0,2.0,1.0,1957.0,3.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,170.0,B,Gas,0.0,1.0,1.0,6,1.0,1,0
10099,10607076.0,315000.0,8370.0,apartment,apartment,blankenberge,Landscape,78.0,2.0,1.0,1981.0,2.2,0.0,1.0,0.0,1.0,1.2,0.0,0.0,104.0,B,Gas,1.0,3.0,0.0,10,0.0,1,0
10100,10606230.0,350000.0,3020.0,apartment,apartment,herent,,169.0,3.0,2.0,1994.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,244.0,C,Electric,1.0,3.0,1.0,3,1.0,1,0
10101,10606842.0,390000.0,1180.0,apartment,apartment,uccle,Isolated,85.0,2.0,1.0,1960.0,3.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,237.0,E,Fuel oil,1.0,4.0,0.0,1,1.0,1,0
10102,10605789.0,398000.0,4020.0,apartment,apartment,liège,Fitted out,135.0,3.0,1.0,1932.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,299.0,D,Gas,1.0,3.0,1.0,6,0.0,1,0
10104,10604836.0,605000.0,1150.0,apartment,apartment,woluwe-saint-pierre - sint-pieters-woluwe,,155.0,2.0,1.0,1932.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,226.0,E,Gas,1.0,3.0,0.0,1,1.0,1,0
10106,10616287.0,307000.0,1070.0,apartment,apartment,anderlecht,Urban,83.0,1.0,1.0,2023.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,45.0,A,,1.0,4.0,226.0,1,1.0,1,0
10107,10614711.0,189000.0,4020.0,apartment,duplex,liège,Urban,72.0,2.0,1.0,1850.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,B,Gas,1.0,3.0,0.0,6,0.0,0,1
10108,10614711.0,189000.0,4020.0,apartment,duplex,liège,Urban,72.0,2.0,1.0,1850.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,B,Gas,1.0,3.0,0.0,6,0.0,0,1
10109,10613095.0,345000.0,1700.0,apartment,duplex,dilbeek,,110.0,3.0,1.0,2011.0,3.6,0.0,0.0,0.0,1.0,8.0,0.0,0.0,207.0,C,Gas,1.0,4.0,0.0,3,1.0,0,1
10110,10615718.0,350000.0,1060.0,apartment,apartment,saint-gilles,Urban,91.0,2.0,2.0,1930.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,F,Gas,1.0,4.0,0.0,1,1.0,1,0
10111,10613524.0,375000.0,1200.0,apartment,apartment,woluwe-saint-lambert,Isolated,92.0,2.0,1.0,1987.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,155.0,D,Gas,1.0,3.0,0.0,1,1.0,1,0
10112,10614951.0,385000.0,1040.0,apartment,apartment,etterbeek,Urban,85.0,2.0,1.0,2006.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,154.0,D,Gas,1.0,3.0,0.0,1,1.0,1,0
10113,10613525.0,385000.0,1140.0,apartment,apartment,evere,Isolated,115.0,3.0,1.0,1996.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,273.0,E,Electric,1.0,3.0,0.0,1,1.0,1,0
10114,10614853.0,399000.0,1000.0,apartment,apartment,bruxelles,,102.0,2.0,1.0,2014.0,2.2,0.0,0.0,0.0,1.0,12.0,0.0,0.0,68.0,B,Gas,1.0,3.0,2.0,1,1.0,1,0
10115,10615803.0,545000.0,1180.0,apartment,apartment,uccle,,162.0,3.0,2.0,1973.0,4.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,182.0,D,Gas,1.0,3.0,1.0,1,1.0,1,0
10116,10614042.0,545000.0,1180.0,apartment,apartment,uccle,Isolated,135.0,3.0,2.0,1974.0,3.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,161.0,D,Gas,1.0,4.0,4.0,1,1.0,1,0
10117,10613752.0,625000.0,9800.0,apartment,apartment,deinze,Urban,246.0,3.0,1.0,1994.0,4.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,186.0,B,Gas,1.0,3.0,1.0,11,0.0,1,0
10118,10614960.0,900000.0,1050.0,apartment,apartment,elsene,"Living area (residential, urban or rural)",154.0,3.0,1.0,2019.0,2.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,99.0,C,Gas,1.0,4.0,1.0,1,1.0,1,0
10119,10600053.0,1360000.0,1180.0,apartment,penthouse,uccle,Countryside,179.0,3.0,1.0,2022.0,4.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,96.0,C,Gas,1.0,4.0,3.0,1,1.0,0,1
10120,10603450.0,137500.0,1030.0,apartment,apartment,schaerbeek,,28.0,1.0,1.0,2004.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,527.0,G,Electric,1.0,3.0,0.0,1,1.0,1,0
10121,10601973.0,159000.0,4000.0,apartment,apartment,liege,Urban,75.0,2.0,1.0,1970.0,2.4,0.0,0.0,0.0,1.0,3.0,0.0,0.0,251.0,C,Electric,1.0,4.0,0.0,6,1.0,1,0
10122,10603030.0,199000.0,9600.0,apartment,apartment,ronse,,109.0,3.0,1.0,1980.0,2.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,156.0,B,Gas,1.0,3.0,0.0,11,0.0,1,0
10124,10604113.0,219000.0,9600.0,apartment,apartment,ronse,,125.0,2.0,1.0,2001.0,2.0,0.0,0.0,0.0,1.0,11.6,0.0,0.0,132.0,B,Gas,1.0,3.0,0.0,11,0.0,1,0
10125,10485632.0,240000.0,9200.0,apartment,apartment,dendermonde,"Living area (residential, urban or rural)",84.0,2.0,1.0,2004.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,106.0,B,Gas,1.0,3.0,1.0,11,0.0,1,0
10131,10604550.0,280000.0,6700.0,apartment,apartment,arlon,"Living area (residential, urban or rural)",85.0,2.0,1.0,1998.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,B,Gas,1.0,3.0,1.0,9,0.0,1,0
10134,10603641.0,299000.0,1600.0,apartment,apartment,sint-pieters-leeuw,,89.0,2.0,1.0,2017.0,2.4,0.0,0.0,0.0,1.0,6.0,0.0,0.0,89.0,A,Gas,1.0,3.0,1.0,3,1.0,1,0
10144,10603691.0,765000.0,1150.0,apartment,apartment,sint-pieters-woluwe,"Living area (residential, urban or rural)",253.0,4.0,2.0,1972.0,2.0,0.0,0.0,0.0,1.0,28.8,0.0,0.0,185.0,D,Gas,1.0,3.0,1.0,1,1.0,1,0
10145,10613755.0,337000.0,9000.0,apartment,apartment,gent,Urban,86.0,2.0,1.0,2022.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,57.0,A,,1.0,4.0,0.0,11,1.0,1,0
10146,10613515.0,765000.0,1000.0,apartment,apartment,bruxelles,Urban,119.0,2.0,2.0,2023.0,2.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,30.0,A,,1.0,4.0,48.0,1,1.0,1,0
10147,10613514.0,1410000.0,1000.0,apartment,apartment,bruxelles,Urban,184.0,3.0,2.0,2023.0,2.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,45.0,A,,1.0,4.0,48.0,1,1.0,1,0
10148,10611721.0,239000.0,2660.0,apartment,apartment,hoboken,,100.0,3.0,1.0,1934.0,2.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,409.0,E,Gas,1.0,4.0,0.0,4,0.0,1,0
10149,10611170.0,240000.0,1040.0,apartment,apartment,etterbeek,Mall,89.0,1.0,1.0,1937.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,E,Gas,0.8,2.0,0.0,1,1.0,1,0
10150,10590366.0,285000.0,1060.0,apartment,apartment,saint-gilles,Urban,88.0,1.0,1.0,1890.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,G,Gas,1.0,3.0,0.0,1,1.0,1,0
10151,10612444.0,360000.0,1190.0,apartment,apartment,forest,Urban,106.0,2.0,1.0,1964.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,145.0,C,Gas,1.0,4.0,0.0,1,0.0,1,0
10152,10602119.0,245000.0,9800.0,apartment,apartment,deinze,Urban,63.0,1.0,1.0,2022.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,A,,1.0,4.0,111.0,11,0.0,1,0
10153,10602120.0,330000.0,9800.0,apartment,apartment,deinze,Urban,96.0,2.0,1.0,2022.0,2.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,1.0,A,,1.0,4.0,101.0,11,0.0,1,0
10154,10602116.0,370000.0,9800.0,apartment,penthouse,deinze,Urban,82.0,2.0,1.0,2022.0,2.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,1.0,A,,1.0,4.0,101.0,11,0.0,0,1
10155,10602118.0,395000.0,9800.0,apartment,apartment,deinze,Urban,99.0,2.0,1.0,2022.0,2.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,A,,1.0,4.0,101.0,11,0.0,1,0
10156,10602117.0,395000.0,9800.0,apartment,penthouse,deinze,Urban,85.0,2.0,1.0,2022.0,2.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,1.0,A,,1.0,4.0,101.0,11,0.0,0,1
10157,10600702.0,199000.0,6043.0,apartment,apartment,ransart,Isolated,100.0,3.0,1.0,2007.0,2.6,0.0,0.0,0.0,1.0,25.0,0.0,0.0,352.0,E,Electric,1.0,4.0,3.0,8,0.0,1,0
10160,10524120.0,250000.0,1700.0,apartment,apartment,dilbeek,Countryside,105.0,2.0,1.0,1972.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,530.0,F,Gas,1.0,3.0,0.0,3,1.0,1,0
10162,10524351.0,260000.0,1700.0,apartment,apartment,dilbeek,Countryside,105.0,2.0,1.0,1972.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,145.0,B,Gas,1.0,3.0,0.0,3,1.0,1,0
10166,10599537.0,395000.0,1140.0,apartment,apartment,evere,Isolated,99.0,2.0,2.0,2006.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,109.0,C,Gas,1.0,4.0,2.0,1,1.0,1,0
10167,10601378.0,599000.0,1180.0,apartment,apartment,uccle,"Living area (residential, urban or rural)",175.0,3.0,1.0,1963.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,204.0,D,Gas,1.0,3.0,1.0,1,1.0,1,0
10168,10312225.0,1400000.0,1050.0,apartment,apartment,ixelles,"Living area (residential, urban or rural)",225.0,4.0,3.0,1920.0,4.0,0.0,0.0,1.0,1.0,55.0,0.0,0.0,589.0,G,Gas,1.0,3.0,1.0,1,1.0,1,0
10169,10328618.0,1400000.0,1180.0,apartment,apartment,uccle,"Living area (residential, urban or rural)",225.0,4.0,3.0,1920.0,3.0,0.0,0.0,1.0,1.0,55.0,0.0,0.0,118.0,C,Gas,1.0,3.0,1.0,1,1.0,1,0
10170,10611997.0,485000.0,1780.0,apartment,apartment,wemmel,,125.0,2.0,2.0,2022.0,2.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0,A,,1.0,4.0,1.0,3,1.0,1,0
10172,10597510.0,220000.0,8792.0,apartment,apartment,waregem,,102.0,2.0,1.0,1980.0,2.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,99.0,A,Gas,1.0,3.0,0.0,10,0.0,1,0
10173,10597525.0,255000.0,1000.0,apartment,apartment,brussels city,,58.0,1.0,1.0,2009.0,2.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,263.0,E,Electric,1.0,3.0,1.0,1,1.0,1,0
10174,10585594.0,260000.0,9890.0,apartment,apartment,gavere,Urban,76.0,1.0,1.0,2021.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,A,Gas,1.0,4.0,2.0,11,0.0,1,0
